,시가,고가,저가,현재가,거래량
0,42650,42950,42500,42500,1570842
1,43300,43450,43000,43000,1324611
2,42000,43000,41800,42950,1818663
3,42600,43150,42000,42650,2119935
4,44500,44500,43450,43500,1775737
5,43200,44900,43100,44050,3207970
6,42900,42900,41850,42300,2341232
7,41900,42100,41700,42100,1193998
8,42250,42300,41600,41800,1167757
9,42000,42200,41850,42200,969434
10,42250,42400,41900,42050,2145679
11,41500,41950,41300,41700,1708879
12,42000,42050,41050,41800,2930364
13,39950,40950,39700,40950,1847567
14,40000,40450,39500,39800,1396180
15,39200,39750,38700,39400,2003481
16,40100,40550,39000,39000,2688956
17,40500,40850,39850,40100,3287643
18,39150,40600,39150,40450,2807999
19,42300,42500,40550,41100,3423688
20,41500,42050,40250,40750,3762796
21,42500,42550,40200,41450,4241958
22,36900,39150,36500,39150,4179097
23,36050,36800,35600,36000,3367606
24,36500,38300,36450,38000,4623584
25,38100,38600,34900,35450,5640126
26,39950,40500,38000,38000,3745813
27,39200,41650,39000,39650,4684902
28,42950,43400,41000,41000,4531444
29,40000,43900,39250,42700,5773939
30,43100,44250,42000,43100,4624793
31,46000,46100,44200,44350,3413664
32,44800,46200,44750,45500,5812655
33,46000,46650,45500,45500,3515886
34,48000,48250,47350,47450,3419692
35,49000,49250,48450,49050,2588823
36,46100,48600,46050,48200,3658066
37,47850,48350,46600,46600,3308530
38,45650,46900,44900,46000,4067855
39,46500,47000,45550,45550,3872934
40,48100,48600,47500,47550,2079918
41,48150,49000,48100,48100,3118050
42,47950,49700,47950,49600,3759466
43,49300,49600,48500,48700,3559473
44,50200,50800,50200,50400,1931325
45,51400,51800,50900,50900,1875311
46,50700,51500,50000,51100,2681487
47,52100,52300,51000,51000,2581442
48,52900,53000,52500,52500,2330946
49,51600,52800,51400,52700,3009997
50,51400,51900,51100,51400,2076607
51,51200,51400,50500,50900,1951794
52,51000,51600,51000,51000,2090150
53,50300,51000,50100,51000,1900584
54,51300,51600,50700,51200,1991501
55,51000,51300,50600,51300,2322521
56,51300,51400,49800,50700,2396249
57,48300,49800,47900,49650,2804961
58,46700,48400,46500,47750,2541142
59,48000,49000,47500,47500,2976123
60,49500,49550,47950,47950,2526970
61,49750,50200,49450,49600,2066704
62,48400,49200,48300,49100,3157911
63,51600,51700,50000,50300,2419343
64,50300,51900,50300,51100,2775348
65,51600,52100,51000,51000,2591716
66,51100,52500,51000,52200,3405491
67,50700,51200,50400,50900,2192507
68,48750,50500,48700,50400,1734748
69,49100,49700,49000,49250,3151318
70,49600,50600,49500,49750,3776068
71,48850,49500,48450,49500,2297331
72,48750,49300,48000,48550,2342259
73,48000,48500,47300,48400,2643434
74,46400,47500,45900,46700,3625223
75,45800,46600,45750,46300,1655637
76,44950,45700,44700,45700,1212706
77,46150,46600,45350,45650,1892001
78,45750,45950,45150,45600,1512362
79,45600,45850,45400,45400,1913850
80,45400,46200,45300,45700,1400514
81,45000,45300,44700,45300,1119201
82,45100,45350,44900,44900,987529
83,45450,45850,44850,45100,1268063
84,45650,45800,45000,45150,2658532
85,45950,46900,45700,45750,3214033
86,46500,46950,46050,46700,2691398
87,46000,46600,45450,46500,2426141
88,44900,45100,44550,45000,1851324
89,44300,44900,44050,44900,2534594
90,42550,43600,42550,43600,1714165
91,42350,42350,42100,42200,750327
92,41900,42250,41650,42000,735751
93,41900,42200,41750,41900,1021251
94,41350,41850,41100,41750,1233398
95,41200,41500,40800,40900,1236208
96,40950,40950,40350,40900,1347956
97,41050,41200,40750,41100,1058152
98,41150,41500,41100,41300,654720
99,41600,41700,40500,40850,1452647
100,41850,42100,41650,41700,1064367
101,42000,42350,41950,42250,1407280
102,42400,42900,42300,42300,4426145
103,41950,42700,41950,42050,1359949
104,41250,41800,41200,41650,1081731
105,41900,42150,41000,41100,1236496
106,42750,43100,42100,42350,1066683
107,42850,43050,42350,43050,1192981
108,42800,43200,42800,42950,1578051
