,시가,고가,저가,현재가,거래량
187,357500,361500,357000,359000,87905
188,360000,360000,355500,357000,80333
189,358500,361500,355000,361500,158745
190,353000,359500,352500,356000,145999
191,355000,356500,349500,353000,142249
192,346000,353000,346000,353000,141257
193,344000,348000,342500,347000,102063
194,341500,347000,341500,344500,128147
195,341500,344000,340000,341000,159837
196,339000,344000,337000,337500,151141
197,344500,349000,337000,337500,194090
198,352000,352500,343500,345000,147643
199,361000,361000,352000,354500,100106
200,359500,360000,355000,358500,82751
201,353000,359500,351000,355500,220098
202,352500,355000,348500,348500,105241
203,360000,360000,353000,355000,113228
204,350000,356000,348000,354500,163529
205,346000,350000,343000,349500,172767
206,350500,350500,346500,347500,100381
207,350000,356000,350000,352000,169316
208,349000,349000,345000,348500,84084
209,350000,351500,346000,348000,121196
210,349500,352000,347500,352000,150039
211,349500,350500,346000,348500,102094
212,348000,349000,342500,345500,187801
213,344500,350000,343500,348500,147491
214,349000,350500,341500,344500,229667
215,345000,349000,339500,349000,336019
216,341500,342000,335000,337000,141549
217,338000,341500,329000,341000,285000
218,334000,337000,330000,337000,133998
219,335000,335000,330000,330500,114979
220,341000,341500,331500,331500,158733
221,337000,339500,333500,337500,106548
222,330000,337000,328500,337000,156208
223,329000,336500,327000,333000,222635
224,329500,337500,326000,327500,263071
225,328000,330000,322000,323000,159476
226,326000,330500,322500,326000,288317
227,324000,329000,322000,326000,122563
228,323000,326500,319000,325500,173785
229,332000,332000,325000,327000,147111
230,331000,334000,329500,332000,96373
231,328500,333500,328000,329500,151917
232,336000,341000,328500,330000,134913
233,339000,344000,333500,334000,132312
234,346000,347500,334500,335500,224008
235,332500,342500,330500,340500,256554
236,328500,335000,328000,331500,223147
237,340000,342000,332500,333000,229518
238,341000,349500,339000,344000,243229
239,355500,356500,343000,343000,358834
240,354000,360000,352500,356000,156763
241,358000,360000,355000,358000,190156
242,360500,366000,359000,364500,160521
243,357500,364000,357500,359000,260801
244,366000,368000,356500,361000,247798
245,357000,365000,354000,365000,208561
246,363000,364500,358500,358500,185237
247,357500,365500,356500,365000,281721
