,시가,고가,저가,현재가,거래량
0,598000,603000,588000,591000,400836
1,581000,608000,576000,601000,1028524
2,573000,594000,572000,580000,625247
3,568000,583000,557000,579000,997287
4,560000,576000,555000,566000,472857
5,553000,568000,531000,566000,776987
6,536000,553000,535000,540000,297720
7,542000,560000,529000,542000,539127
8,570000,589000,539000,539000,1184911
9,500000,603000,494500,559000,3037570
10,481500,483000,474000,478500,125253
11,482500,484500,477500,477500,124190
12,486000,486000,474000,482500,177208
13,474500,488000,473000,477000,219399
14,463500,478000,461000,467500,220451
15,451000,468000,449000,464500,187474
16,481000,486000,450500,452500,313016
17,455000,493000,448000,482000,665621
18,437000,452000,433500,450000,216938
19,467000,469000,436000,443000,399994
20,469500,475000,456000,456500,324101
21,492500,494000,462000,475000,431318
22,452500,492000,448000,476000,509039
23,406000,454500,405500,436000,589740
24,383500,451000,371500,430000,586738
25,410000,416000,352000,366000,470624
26,425500,427500,400500,400500,276886
27,410000,433000,409500,417500,423614
28,463000,474500,429500,430000,218369
29,465000,478000,420000,456500,477093
30,480000,489000,467000,483000,244877
31,507000,514000,476500,484000,201904
32,489000,497000,486000,496000,156243
33,484000,500000,483000,494000,202109
34,491000,494000,487500,491000,93421
35,498500,499000,490000,496500,130398
36,479500,491000,479000,489000,140079
37,479500,502000,476500,479500,233926
38,463000,472500,457500,467000,149246
39,473000,475000,455500,463500,231859
40,479000,484000,471000,480000,166026
41,468000,484500,467000,480000,156734
42,459000,479500,458000,479000,246549
43,470000,477500,461000,461000,278895
44,493000,494000,483000,486500,214090
45,507000,514000,495000,498500,261309
46,513000,517000,500000,505000,175595
47,514000,518000,510000,513000,121475
48,529000,529000,517000,519000,145950
49,530000,533000,528000,529000,77388
50,537000,537000,527000,530000,111860
51,528000,538000,525000,530000,131478
52,536000,542000,524000,528000,170868
53,519000,534000,511000,530000,153016
54,521000,524000,510000,519000,125762
55,497500,523000,494000,519000,298254
56,495500,499500,489000,490000,95141
57,483000,493000,482500,492500,113472
58,477000,484000,465000,479500,193254
59,495000,499500,484500,484500,132195
60,490500,500000,485000,495000,161574
61,495500,495500,485000,491000,161493
62,477000,499000,476000,494000,320066
63,469500,493000,458500,483000,438529
64,437000,454000,436500,452000,179649
65,439500,444500,437000,438000,70311
66,439000,442500,437500,438000,66165
67,436500,439000,432000,437000,67353
68,435000,439000,430500,436500,69427
69,433500,436500,430000,434500,61351
70,440500,442000,433000,435000,105457
71,439000,443500,435000,440500,124102
72,422000,439000,418000,436500,184177
73,417000,421500,416000,420000,86176
74,412500,415000,401000,408500,151966
75,415500,419500,411000,419000,85655
76,414500,416500,411000,412000,99978
77,431500,436500,418500,422000,123810
78,433000,439500,425500,428500,108281
79,430000,442000,428500,433000,136848
80,419000,438000,415000,429500,222613
81,420000,420000,413000,413500,139723
82,421500,433000,416000,417000,171062
83,398000,423500,397500,422500,385044
84,396000,397500,395500,396500,75612
85,394500,396500,393500,395500,59475
86,396000,397000,393500,394500,75412
87,394000,396000,392000,395000,74299
88,395000,399000,394000,395000,68439
89,393000,397000,392000,396000,89107
90,388500,392000,388000,390000,93556
91,391500,393500,387000,389000,39782
92,384000,391000,383000,390000,43279
93,391000,394000,385000,388000,63355
94,396500,397000,390000,395000,86663
95,391500,396000,385000,396000,69626
96,393500,395500,388500,391500,60031
97,386000,394000,385000,394000,51493
98,394000,398000,387000,390000,64001
99,401500,402500,393000,393500,74067
100,396000,400000,396000,399000,68488
101,393000,397500,386500,397000,72185
102,391000,394500,389000,389000,100289
103,389000,393000,386000,391000,81180
104,387500,391000,380500,385000,82542
105,399500,399500,384000,391000,100365
106,396500,401000,394000,399500,70048
107,403500,403500,396000,399000,48691
108,398000,403000,398000,402000,94620
109,393000,398000,393000,398000,60635
110,390500,398000,390500,395500,54733
111,397000,398000,389000,389500,77768
112,400000,400000,395000,398000,47139
113,388500,402000,388500,399500,99605
114,404500,405000,388500,390000,124664
115,401000,405000,400500,404500,98668
116,399500,402500,398500,399500,58144
117,402500,402500,399000,399500,76609
118,401000,401500,397500,401000,87311
119,397500,398500,390500,396000,82728
120,400000,403000,397000,398500,110973
121,401000,402000,388500,397000,139063
122,397500,402000,390000,400500,215745
123,387500,398000,386500,398000,203328
124,379000,387500,376000,383500,168739
125,378000,380000,368000,378000,220840
126,377000,380500,365000,372500,565378
127,341000,349500,341000,344000,90349
128,343500,344000,338500,339500,51210
129,345000,349500,342000,344000,63654
130,343000,352000,342000,345000,221230
131,327500,339000,327000,339000,170243
132,329000,329500,325500,326000,32848
133,327500,330000,324500,329500,82811
134,329000,329000,324000,325000,57332
135,326000,329000,321500,326000,65922
136,326000,330000,321500,329000,106670
137,324000,328000,322000,326000,70555
138,320500,325000,319000,320500,78522
139,317500,323500,313500,318000,82123
140,308000,323000,305000,323000,105042
141,309500,313000,301000,307500,86603
142,320000,320000,311000,311500,76011
143,318000,324500,316500,317500,72971
144,318500,324000,317000,318000,84517
145,314000,330000,311000,318500,212881
146,338000,338000,314000,317000,284614
147,331000,342000,331000,338500,235556
148,316000,335000,316000,329000,273672
149,317500,322500,313000,316000,146324
150,299000,316500,298500,315000,342854
151,294500,296500,288500,293500,81350
152,285500,293000,283500,293000,150651
153,290000,290000,280500,283500,113119
154,277500,282500,277500,280000,52212
155,280000,281500,276000,277500,63760
156,280000,282500,278000,279500,84191
157,270000,278000,269000,278000,118329
158,267000,273000,266000,272000,93305
159,267500,267500,261000,267000,132489
160,274500,281000,267000,269000,315441
161,290000,304000,261500,272500,796095
162,275500,288000,274500,286500,214503
